Description,Price,Rating,URL
"AMD Ryzen 7 3700X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler",$329.99,4.9 out of 5 stars,https://www.amazon.com/AMD-Ryzen-3700X-16-Thread-Processor/dp/B07SXMZLPK/ref=sr_1_1?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-1
"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",$199.99,4.9 out of 5 stars,https://www.amazon.com/AMD-Ryzen-3600-12-Thread-Processor/dp/B07STGGQ18/ref=sr_1_2?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-2
"AMD Ryzen 7 3800XT 8-core, 16-Threads Unlocked Desktop Processor Without Cooler",$429.00,4.8 out of 5 stars,https://www.amazon.com/AMD-Ryzen-3800XT-16-Threads-Processor/dp/B089WCXZJC/ref=sr_1_3?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-3
"AMD Ryzen 7 3800X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler",$399.00,4.8 out of 5 stars,https://www.amazon.com/AMD-Ryzen-3800X-16-Thread-Processor/dp/B07SXMZLPJ/ref=sr_1_4?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-4
"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler",$479.99,4.9 out of 5 stars,https://www.amazon.com/AMD-Ryzen-3900X-24-Thread-Processor/dp/B07SXMZLP9/ref=sr_1_5?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-5
"AMD Ryzen 5 3600X 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Spire Cooler",$249.00,4.8 out of 5 stars,https://www.amazon.com/AMD-Ryzen-3600X-12-Thread-Processor/dp/B07SQBFN2D/ref=sr_1_8?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-8
"Intel Core i3-10100 Desktop Processor 4 Cores up to 4.3 GHzÂ  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110100",$114.99,4.7 out of 5 stars,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00469843SY13CDQHHGFU&url=%2FIntel-i3-10100-Desktop-Processor-LGA1200%2Fdp%2FB086MMRW87%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3Dryzen%2B3700%26qid%3D1613049910%26sr%3D8-9-spons%26psc%3D1&qualifier=1613049910&id=1230200649328432&widgetName=sp_mtf
"AMD Ryzen 5 5600X 6-core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",$398.99,4.8 out of 5 stars,https://www.amazon.com/AMD-Ryzen-5600X-12-Thread-Processor/dp/B08166SLDF/ref=sr_1_10?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-10
AMD Ryzen 5 2600X Processor with Wraith Spire Cooler - YD260XBCAFBOX,$199.00,4.8 out of 5 stars,https://www.amazon.com/AMD-Ryzen-Processor-Wraith-Cooler/dp/B07B428V2L/ref=sr_1_11?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-11
"AMD Ryzen 9 3900XT 12-core, 24-Threads Unlocked Desktop Processor Without Cooler",$649.00,4.8 out of 5 stars,https://www.amazon.com/AMD-Ryzen-3900XT-24-Threads-Processor/dp/B089WD454D/ref=sr_1_12?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-12
AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler - YD2600BBAFBOX,$189.99,4.8 out of 5 stars,https://www.amazon.com/AMD-Processor-Wraith-Stealth-Cooler/dp/B07B41WS48/ref=sr_1_13?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-13
"AMD Ryzen 3 3100 4-Core, 8-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",$181.99,4.7 out of 5 stars,https://www.amazon.com/AMD-Ryzen-3100-8-Thread-Processor/dp/B0876Y2TMZ/ref=sr_1_15?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-15
AMD Ryzen 7 3700X 3.6GHz 32MB Cache AM4 CPU Desktop Processor Boxed,$649.00,4.0 out of 5 stars,https://www.amazon.com/AMD-Ryzen-3-6GHz-Desktop-Processor/dp/B07XJ42281/ref=sr_1_17?dchild=1&keywords=ryzen+3700&qid=1613049910&sr=8-17
